QA
[Ontario, CA]
[Tucson, AZ]
[Palm Springs, CA]
[Lihue, HI]
[Reno, NV]
[Honolulu, HI]
[Kansas City, MO]
[Cincinnati, OH]
[Las Vegas, NV]
[Sacramento, CA]
[Atlanta, GA]
[Juneau, AK]
[Anchorage, AK]
[Boston, MA]
[Milwaukee, WI]
[Houston, TX]
[Nashville, TN]
[San Francisco, CA]
[Kahului, HI]
[Los Angeles, CA]
[San Jose, CA]
[Spokane, WA]
[San Diego, CA]
[Chicago, IL]
[Detroit, MI]
[Charlotte, NC]
[St. Louis, MO]
[Washington, DC]
[Minneapolis, MN]
[Memphis, TN]
[Albuquerque, NM]
[New York, NY]
[Oakland, CA]
[Dallas/Fort Worth, TX]
[Miami, FL]
[Fairbanks, AK]
[Kona, HI]
[Phoenix, AZ]
[Ketchikan, AK]
[Long Beach, CA]
[Austin, TX]
[Portland, OR]
[Santa Ana, CA]
[Orlando, FL]
[Newark, NJ]
[Salt Lake City, UT]
[Boise, ID]
[Denver, CO]
[Philadelphia, PA]
[Burbank, CA]

QB
[West Palm Beach/Palm Beach, FL,11,65]
[Huntsville, AL,11,32]
[Bakersfield, CA,11,9]
[Harrisburg, PA,11,20]
[Sun Valley/Hailey/Ketchum, ID,11,5]
[Dothan, AL,11,4]
[Akron, OH,11,22]

QC
[Gainesville, FL,11.142857142857142]
[Richmond, VA,14.150943396226415]
[Tucson, AZ,4.786885245901639]
[Ontario, CA,4.397058823529412]
[Myrtle Beach, SC,12.25]
[Medford, OR,0.6666666666666666]
[Palm Springs, CA,3.193548387096774]
[Redding, CA,0.0]
[Durango, CO,0.0]
[Corpus Christi, TX,7.0]
[Mobile, AL,10.05]
[Dubuque, IA,0.0]
[Pensacola, FL,9.64516129032258]
[Fort Myers, FL,19.45205479452055]
[Huntsville, AL,1.21875]
[Columbus, GA,14.5]
[Pasco/Kennewick/Richland, WA,5.5]
[Springfield, IL,1.4]
[Aspen, CO,0.2]
[San Juan, PR,16.565217391304348]
[Montrose/Delta, CO,1.0]
[Cedar City, UT,9.5]
[Lihue, HI,4.0]
[Fort Smith, AR,0.0]
[Lewisburg, WV,0.0]
[Reno, NV,3.1333333333333333]
[Harlingen/San Benito, TX,2.4]
[Columbus, OH,12.393258426966293]
[Honolulu, HI,2.263157894736842]
[Bakersfield, CA,9.777777777777779]
[Crescent City, CA,0.0]
[Tyler, TX,7.5]
[Burlington, VT,12.066666666666666]
[Norfolk, VA,14.333333333333334]
[Laredo, TX,1.625]
[Baton Rouge, LA,15.148148148148149]
[Roswell, NM,0.0]
[Dayton, OH,5.128205128205129]
[Bismarck/Mandan, ND,1.4545454545454546]
[Hilo, HI,0.25]
[Minot, ND,0.4]
[Cleveland, OH,14.478787878787879]
[Augusta, GA,0.8333333333333334]
[Sioux Falls, SD,0.75]
[Bend/Redmond, OR,7.75]
[Louisville, KY,23.215686274509803]
[Kansas City, MO,16.47222222222222]
[Yakutat, AK,0.0]
[Missoula, MT,7.222222222222222]
[Cincinnati, OH,16.318181818181817]
[Akron, OH,11.863636363636363]
[Las Vegas, NV,7.7579462102689485]
[Sacramento, CA,7.747967479674797]
[Barrow, AK,37.0]
[Charleston, SC,30.11111111111111]
[Atlanta, GA,14.089602704987321]
[El Centro, CA,6.5]
[Charlottesville, VA,28.333333333333332]
[Lexington, KY,10.115384615384615]
[Juneau, AK,33.27272727272727]
[Elko, NV,0.0]
[Peoria, IL,9.3]
[Albany, GA,0.0]
[San Angelo, TX,0.0]
[Seattle, WA,4.022058823529412]
[Longview, TX,0.0]
[Lincoln, NE,1.1111111111111112]
[Anchorage, AK,4.863636363636363]
[Grand Junction, CO,3.5]
[Nome, AK,12.0]
[Tulsa, OK,6.830508474576271]
[Des Moines, IA,2.9210526315789473]
[Boston, MA,20.44179104477612]
[Cheyenne, WY,28.0]
[Milwaukee, WI,11.088]
[New Bern/Morehead/Beaufort, NC,30.666666666666668]
[Greer, SC,18.393939393939394]
[Houston, TX,8.454413892908828]
[Fargo, ND,7.65]
[Deadhorse, AK,3.5]
[Helena, MT,6.8]
[Harrisburg, PA,1.9]
[Santa Fe, NM,0.0]
[Twin Falls, ID,1.75]
[Bethel, AK,14.333333333333334]
[Daytona Beach, FL,30.0]
[Sun Valley/Hailey/Ketchum, ID,3.4]
[North Bend/Coos Bay, OR,31.5]
[Midland/Odessa, TX,1.9565217391304348]
[Kalispell, MT,0.0]
[Grand Forks, ND,0.42857142857142855]
[Aguadilla, PR,1.25]
[Great Falls, MT,0.2]
[Nashville, TN,18.662420382165607]
[Hartford, CT,5.03030303030303]
[San Francisco, CA,7.754475703324808]
[Kahului, HI,3.3518518518518516]
[Manchester, NH,8.631578947368421]
[Los Angeles, CA,4.644642857142857]
[Lubbock, TX,2.5454545454545454]
[Saginaw/Bay City/Midland, MI,0.0]
[La Crosse, WI,1.625]
[Carlsbad, CA,1.5]
[Dallas, TX,11.897058823529411]
[San Jose, CA,4.008695652173913]
[Tunica, MS,0.0]
[Killeen, TX,0.18181818181818182]
[Marquette, MI,4.0]
[Monroe, LA,1.625]
[Knoxville, TN,11.384615384615385]
[Fort Lauderdale, FL,21.88679245283019]
[Bangor, ME,0.0]
[El Paso, TX,8.596774193548388]
[Spokane, WA,0.23684210526315788]
[Syracuse, NY,40.48275862068966]
[Evansville, IN,0.75]
[Fayetteville, NC,12.25]
[Flagstaff, AZ,12.142857142857142]
[Eagle, CO,0.0]
[San Diego, CA,5.27906976744186]
[Chicago, IL,11.709854014598541]
[Dothan, AL,15.75]
[Detroit, MI,10.199561403508772]
[Portland, ME,3.466666666666667]
[Grand Rapids, MI,11.694444444444445]
[Champaign/Urbana, IL,0.0]
[Toledo, OH,8.333333333333334]
[Gillette, WY,6.5]
[Charlotte, NC,14.156962025316457]
[Christiansted, VI,0.0]
[Valparaiso, FL,2.227272727272727]
[St. Louis, MO,13.45664739884393]
[Monterey, CA,10.214285714285714]
[Green Bay, WI,13.0]
[Washington, DC,7.679120879120879]
[Islip, NY,15.333333333333334]
[Ithaca/Cortland, NY,1.6666666666666667]
[Petersburg, AK,34.5]
[Cody, WY,0.0]
[Traverse City, MI,2.0833333333333335]
[Amarillo, TX,2.857142857142857]
[Minneapolis, MN,10.390710382513662]
[Raleigh/Durham, NC,17.22972972972973]
[Bozeman, MT,0.8333333333333334]
[Eau Claire, WI,0.0]
[Valdosta, GA,19.666666666666668]
[White Plains, NY,15.6875]
[Charleston/Dunbar, WV,2.2]
[Brownsville, TX,0.0]
[Abilene, TX,0.0]
[Lynchburg, VA,0.0]
[Newburgh/Poughkeepsie, NY,20.0]
[Rock Springs, WY,0.6]
[Klamath Falls, OR,0.0]
[Duluth, MN,0.0]
[Pittsburgh, PA,13.472222222222221]
[Kodiak, AK,0.0]
[Memphis, TN,7.909090909090909]
[State College, PA,0.0]
[Pocatello, ID,0.0]
[Texarkana, AR,0.0]
[Rochester, MN,0.0]
[Albuquerque, NM,8.073684210526316]
[Idaho Falls, ID,0.0]
[South Bend, IN,4.214285714285714]
[Baltimore, MD,17.04983388704319]
[New York, NY,22.362521891418563]
[Binghamton, NY,15.0]
[Sitka, AK,99.66666666666667]
[Santa Maria, CA,5.5]
[Oklahoma City, OK,2.296875]
[Florence, SC,20.0]
[Bloomington/Normal, IL,9.928571428571429]
[Omaha, NE,11.18840579710145]
[Gunnison, CO,0.0]
[Meridian, MS,18.0]
[Lansing, MI,7.2]
[Oakland, CA,5.786259541984733]
[Chattanooga, TN,6.538461538461538]
[Eugene, OR,3.7857142857142856]
[Chico, CA,1.25]
[Atlantic City, NJ,0.0]
[Dallas/Fort Worth, TX,7.5]
[Tampa, FL,22.98913043478261]
[Greensboro/High Point, NC,18.678571428571427]
[St. George, UT,0.42857142857142855]
[Jacksonville, FL,16.384615384615383]
[Miami, FL,18.715846994535518]
[Savannah, GA,25.464285714285715]
[Fresno, CA,3.3636363636363638]
[Fairbanks, AK,17.90909090909091]
[Jackson, WY,90.5]
[Hancock/Houghton, MI,0.0]
[Santa Barbara, CA,5.678571428571429]
[Buffalo, NY,18.125]
[Elmira/Corning, NY,17.666666666666668]
[Kona, HI,5.3]
[Lafayette, LA,5.8]
[Asheville, NC,9.133333333333333]
[Branson, MO,5.5]
[Mosinee, WI,0.2]
[College Station/Bryan, TX,0.0]
[Phoenix, AZ,6.183953033268102]
[Brunswick, GA,31.0]
[Indianapolis, IN,17.24]
[Lake Charles, LA,0.0]
[Montgomery, AL,3.5384615384615383]
[Ketchikan, AK,26.166666666666668]
[Wilmington, NC,11.538461538461538]
[Lewiston, ID,0.5]
[Madison, WI,37.04]
[Fayetteville, AR,9.80952380952381]
[Columbia, SC,15.32]
[Moline, IL,12.277777777777779]
[Hayden, CO,16.5]
[Newport News/Williamsburg, VA,8.266666666666667]
[Wrangell, AK,50.5]
[Yuma, AZ,5.636363636363637]
[Erie, PA,81.66666666666667]
[Modesto, CA,0.6]
[West Palm Beach/Palm Beach, FL,28.307692307692307]
[Tallahassee, FL,4.714285714285714]
[Roanoke, VA,26.1]
[Ponce, PR,0.0]
[Sarasota/Bradenton, FL,10.8125]
[Birmingham, AL,10.766666666666667]
[Rochester, NY,2.5135135135135136]
[Appleton, WI,1.6923076923076923]
[Gulfport/Biloxi, MS,1.7222222222222223]
[Providence, RI,18.559322033898304]
[Muskegon, MI,0.0]
[Columbia, MO,9.666666666666666]
[Melbourne, FL,50.4]
[Shreveport, LA,0.2857142857142857]
[Kotzebue, AK,10.666666666666666]
[Long Beach, CA,3.1052631578947367]
[Austin, TX,9.5]
[Portland, OR,6.65034965034965]
[Mission/McAllen/Edinburg, TX,0.0]
[Billings, MT,1.5]
[San Antonio, TX,5.745614035087719]
[Adak Island, AK,0.0]
[Orlando, FL,19.780564263322884]
[Santa Ana, CA,5.262295081967213]
[Rapid City, SD,0.0625]
[Alexandria, LA,9.1]
[Little Rock, AR,9.410714285714286]
[Newark, NJ,43.253869969040245]
[Kalamazoo, MI,37.75]
[Bristol/Johnson City/Kingsport, TN,17.90909090909091]
[Casper, WY,4.166666666666667]
[New Orleans, LA,10.228070175438596]
[Ashland, WV,0.0]
[Panama City, FL,18.31578947368421]
[Salt Lake City, UT,4.835694050991502]
[Wichita, KS,5.088235294117647]
[Boise, ID,1.9534883720930232]
[Manhattan/Ft. Riley, KS,2.3333333333333335]
[Cordova, AK,0.0]
[Jacksonville/Camp Lejeune, NC,5.4]
[Allentown/Bethlehem/Easton, PA,3.5833333333333335]
[Denver, CO,8.926144756277695]
[Jackson/Vicksburg, MS,5.647058823529412]
[Columbus, MS,0.0]
[Scranton/Wilkes-Barre, PA,0.0]
[Butte, MT,0.0]
[Philadelphia, PA,24.634538152610443]
[Charlotte Amalie, VI,3.4]
[Paducah, KY,19.5]
[San Luis Obispo, CA,0.42857142857142855]
[Bellingham, WA,0.0]
[Flint, MI,4.785714285714286]
[Burbank, CA,3.6533333333333333]
[Arcata/Eureka, CA,41.4]
[Fort Wayne, IN,4.461538461538462]
[Colorado Springs, CO,4.371428571428571]
[Key West, FL,83.75]
[Inyokern, CA,0.0]
[Albany, NY,19.303030303030305]
[Cedar Rapids/Iowa City, IA,2.3125]
[Springfield, MO,9.125]
